,0
512,bill
513,bima
514,bimbing
515,bin
516,bina
517,bingung
518,binsar
519,bintang
520,biocelect
521,biologi
522,biologis
523,biontech
524,biotech
525,biotherapeutics
526,biro
527,birojabar
528,biromakassar
529,birthday
530,biru
531,bishop
532,bishopall
533,bisnis
534,bius
535,bkd
536,bl
537,blackout
538,blasio
539,ble
540,blitar
541,blok
542,blokir
543,blood
544,bm
545,bmkg
546,bnpb
547,bnpn
548,boalemo
549,bocah
550,bocor
551,bodoh
552,body
553,bogor
554,bogorselain
555,bohong
556,bojong
557,bojongsari
558,bola
559,boleh
560,bolongia
561,bolongper
562,bom
563,bonceng
564,bong
565,bongbong
566,bongkar
567,book
568,booster
569,boosternya
570,boosterpada
571,boostersesuai
572,boozy
573,bor
574,borgol
575,borla
576,bos
577,both
578,botol
579,bourla
580,box
581,boyolali
582,bpbd
583,bpjs
584,bpnb
585,bpom
586,bpomvaksin
587,bpomwarga
588,bps
589,braif
590,brain
591,brand
592,branddiburu
593,brasil
594,brawijaya
595,breaking
596,brengsek
597,bri
598,brian
599,brick
600,brimob
601,briptu
602,brisbane
603,british
604,broady
605,brooks
606,brother
607,brotherstes
608,brotherstres
609,brunei
610,bst
611,bu
612,buah
613,buahbatu
614,buang
615,buat
616,buaya
617,bubar
618,bubuh
619,bubuk
620,buckingham
621,budaya
622,budhi
623,budi
624,budianto
625,buka
626,bukahlah
627,bukti
628,buku
629,bulan
630,bulat
631,bule
632,bulldozer
633,bullying
634,buluh
635,bumi
636,bumn
637,bundar
638,bunga
639,bungkam
640,bungkus
641,bungsu
642,bungur
643,bunuh
644,bunyi
645,bupati
646,burhan
647,burka
648,buru
649,buruk
650,burukmenghindari
651,burung
652,bus
653,busyro
654,but
655,buta
656,butuh
657,by
658,bye
659,bythe
660,cabut
661,cacat
662,cadar
663,cahya
664,cahyono
665,cair
666,cakap
667,cakup
668,california
669,call
670,calon
671,caludia
672,camat
673,camilla
674,campur
675,campus
676,can
677,canberra
678,canda
679,cangkir
680,cantum
681,capres
682,cara
683,cardiac
684,cardiovascular
685,cari
686,case
687,cash
688,catat
689,cattelya
690,cause
691,caused
692,cawapres
693,ccc
694,cctv
695,cdc
696,cdpob
697,cebur
698,cecep
699,cedera
700,cegah
701,cegat
702,cek
703,ceko
704,celana
705,celebes
706,celsius
707,celurit
708,cemooh
709,cenderung
710,cengkareng
711,centang
712,center
713,centre
714,ceo
715,cepat
716,cerah
717,ceramah
718,cerdas
719,cerita
720,cermat
721,cermin
722,certainly
723,certificate
724,cetak
725,cetus
726,cfr
727,chahill
728,chai
729,chairul
730,chaniago
731,channel
732,charged
733,charles
734,check
735,checkyourfact
736,chest
737,chief
738,chills
739,china
740,chinese
741,chip
742,chipped
743,christy
744,ciamik
745,cianjur
746,cibalong
747,cibinong
748,cibinongarif
749,cibiuk
750,cicendo
751,cik
752,cilacap
753,cilagdosis
754,cilandak
755,cileunyi
756,cilincing
757,ciliwung
758,cilodong
759,cimahi
760,cina
761,cinta
762,cipanas
763,cipkon
764,cipta
765,cipularang
766,ciputat
767,ciri
768,cisompet
769,cita
770,citamiang
771,citra
772,city
773,cium
774,clarence
775,claudia
776,clayton
777,cleansing
778,close
779,cnbc
780,cnn
781,coba
782,coblong
783,cocok
784,coincidence
785,coklat
786,cold
787,colds
788,com
789,comes
790,comirnatymoderna
791,command
792,commerce
793,community
794,compact
795,companies
796,compensation
797,concentrator
798,concern
799,conlon
800,conservative
801,contentwindow
802,contoh
803,control
804,convention
805,coordinator
806,copet
807,copot
808,copyrighted
809,copyrights
810,corona
811,coronaadapun
812,coronadalam
813,coronanamun
814,coronapencabutan
815,coronavac
816,coronavacbharat
817,coronavirus
818,corv
819,cosplayer
820,cost
821,could
822,country
823,coursera
824,couzens
825,cov
826,covaxinsinopharm
827,covd
828,covid
829,covidbagaimana
830,covidhal
831,covidharapan
832,covidlebih
833,covidmantan
834,covidpihak
835,covidsementara
836,covidsiti
837,covidwarga
838,covishieldpfizer
839,cowok
840,cps
841,crawford
842,createelement
843,cressida
844,crises
845,cristensen
846,cronchronchronos
847,cshl
848,cuaca
849,cuci
850,cucu
851,cuit
852,cukup
853,culture
854,cuman
855,cuplik
856,curhat
857,curi
858,curiga
859,cusahakan
860,custom
861,cut
862,cuti
863,cyrus
864,daan
865,dada
866,dadak
867,dadang
868,daerah
869,daftar
870,daftarnyaberikut
871,daftarnyabor
872,dagang
873,daging
874,dahak
875,dahi
876,dahlan
877,dailymail
878,dajjal
879,dakwa
880,dalam
881,dalih
882,damage
883,damai
884,damaisimak
885,dame
886,damkar
887,dampak
888,damping
889,dana
890,danang
891,dance
892,dandan
893,dangdut
894,dante
895,danthumbnailyang
896,dapat
897,darah
898,dari
899,daring
900,dariworld
901,darkuniverse
902,darurat
903,darussalam
904,dasarnyaketua
905,dasarnyalalu
906,dasco
907,daszak
908,database
909,datang
910,datar
911,datawrapper
912,date
913,datejika
914,datesetelah
915,daulat
916,daun
917,daya
918,dcidentifier
919,dead
920,death
921,decide
922,declared
923,dedan
924,dedcdf
925,dedy
926,definisi
927,defretes
928,degrees
929,dehem
930,dek
931,dekade
932,dekat
933,deklarasi
934,delapan
935,delhi
936,delmicron
937,delta
938,deltan
939,deltaomicron
940,demam
941,demo
942,demokrasi
943,demokrasieiu
944,demokrat
945,demokratis
946,demonstran
947,demonstrasi
948,dems
949,den
950,denda
951,dendritik
952,dengar
953,denitirta
954,denmark
955,depan
956,departemen
957,depok
958,depokdi
959,depoksebagai
960,deposit
961,deputi
962,dera
963,derajat
964,deret
965,derita
966,desa
967,desain
968,desak
969,describe
970,desember
971,deskripsi
972,destinasi
973,deteksi
974,detikcom
975,detikjateng
976,devil
977,dewan
978,dewangga
979,dewasa
980,dexamethasone
981,di
982,diagnosis
983,diagnostik
984,diam
985,diburulihat
986,dick
987,dicovidkan
988,didik
989,die
990,died
991,digarisbawahi
992,digencarkanarum
993,digital
994,digitalisasi
995,dihadang
996,dikki
997,diktator
998,dikuatirkan
999,diminimalisir
1000,dimyati
1001,din
1002,dinamika
1003,dinamis
1004,dinas
1005,dinaturalisasiberikut
1006,dinding
1007,dinetralisir
1008,dingin
1009,dinkes
1010,dioksida
1011,dipatiukur
1012,diperiksadia
1013,diperiksajamal
1014,diploid
1015,diplomat
1016,dir
1017,dirawatmintoro
1018,dirawatseperti
1019,direct
1020,direktorat
1021,direktur
1022,dirga
1023,diri
1024,diridia
1025,dirjen
1026,dirumahaja
1027,discovered
1028,disdikbud
1029,disease
1030,disfungsi
1031,dishub
1032,disimpulkandia
1033,disinfektan
1034,disiplin
1035,disk
1036,diskriminasi
1037,diskriminatif
1038,diskualifikasi
1039,diskusi
1040,disorder
1041,disorders
1042,disrupsi
1043,distancing
1044,distancingselama
1045,ditandatangani
1046,ditanggappi
1047,ditangkappolisi
1048,diterapkandiberitakan
1049,diterapkandilihat
1050,diterapkanlihat
1051,diterapkansimak
1052,ditingkatkanmeski
1053,ditlantas
1054,ditreskrimsus
1055,diupdate
1056,djaja
1057,djauhar
1058,dki
1059,dkidari
1060,dkidudi
1061,dkiper
1062,dll
1063,dm
1064,dmi
1065,dmitry
1066,dna
1067,dnu
1068,doa
1069,dobak
1070,dobrak
1071,doctorhalodochomecareklikdokterlekasehatlinksehatmdocmilvik
1072,doctors
1073,document
1074,dok
1075,dokter
1076,dokterprosehatsehatqklinikgotrustmedisyesdokvascular
1077,doktor
1078,dokumen
1079,dollar
1080,dolores
1081,domestik
1082,dominan
1083,dominasi
1084,domisili
1085,donal
1086,donald
1087,done
1088,donor
1089,door
1090,dorong
1091,dosen
1092,dosis
1093,dot
1094,downing
1095,dpa
1096,dpc
1097,dpo
1098,dpp
1099,dpr
1100,dprd
1101,dputr
1102,dramatis
1103,drastis
1104,dream
1105,dreamcast
1106,drg
1107,drop
1108,dudi
1109,duduk
1110,duga
1111,duit
1112,dukung
1113,duluan
1114,dumin
1115,dungu
1116,dunia
1117,duniapangeran
1118,dupa
1119,durasi
1120,duren
1121,duri
1122,dus
1123,dusun
1124,duterte
1125,dutertesara
1126,duty
1127,dw
1128,dwia
1129,ebola
1130,ebrahim
1131,ecek
1132,economic
1133,economist
1134,ect
1135,ed
1136,edi
1137,edisi
1138,education
1139,edukasi
1140,edy
1141,efek
1142,efektif
1143,efektifvitasnya
1144,efektivitas
1145,eff
1146,effects
1147,efficient
1148,efikasi
1149,efisiensi
1150,ega
1151,eidos
1152,eisenhower
1153,eiu
1154,eja
1155,ekologi
1156,ekonomi
1157,ekor
1158,eks
1159,eksekutif
1160,eksekutiffx
1161,eksekutifpada
1162,eksperimen
1163,ekspos
1164,ekspresi
1165,eksternal
1166,ekstrim
1167,el
1168,elektronik
1169,elf
1170,elite
1171,elizabeth
1172,elok
1173,elon
1174,email
1175,emban
1176,embara
1177,emergency
1178,emil
1179,emine
1180,emmanuel
1181,emosi
1182,empat
1183,empiris
1184,empuk
1185,enam
1186,end
1187,endra
1188,energi
1189,enggak
1190,enggan
1191,epidemiolog
1192,episentrum
1193,episode
1194,erat
1195,erdogan
1196,erection
1197,ereksi
1198,eric
1199,erlina
1200,ernst
1201,eropa
1202,error
1203,erti
1204,erwin
1205,esa
1206,esensi
1207,esensial
1208,eskalasi
1209,esok
1210,etik
1211,etika
1212,etnis
1213,euthanasia
1214,euyy
1215,eva
1216,evakuasi
1217,evaluasi
1218,event
1219,everard
1220,evil
1221,exclusive
1222,exert
1223,experiment
1224,experimental
1225,expert
1226,extension
1227,extraordinary
1228,faceapakah
1229,facebook
1230,facebookkembali
1231,fadil
1232,fadilah
1233,fadly
1234,faham
1235,fahry
1236,failure
1237,faisal
1238,fakhruddin
1239,fakta
1240,faktauntuk
1241,faktor
1242,faktual
1243,fakultas
1244,fani
1245,fantastis
1246,farid
1247,farma
1248,farmasi
1249,fase
1250,fasilitas
1251,fasis
1252,faskes
1253,fatal
1254,fatalitas
1255,fatality
1256,fatari
1257,fathurrahman
1258,fauci
1259,favipiravir
1260,fbi
1261,fda
1262,feb
1263,februari
1264,federal
1265,federasi
1266,fenoksietanol
1267,fenomena
1268,ferdinan
1269,ferdinand
1270,ferrari
1271,festival
1272,fh
1273,fhs
1274,figo
1275,filipina
1276,filipinaapakah
1277,film
1278,filsuf
1279,final
1280,finding
1281,finlandia
1282,fiq
1283,firma
1284,firman
1285,first
1286,fisik
1287,fisikmencuci
1288,fitri
1289,fjp
1290,fks
1291,flayer
1292,fleksibel
1293,florona
1294,flu
1295,fluberkeringat
1296,fluimucil
1297,fluktuatif
1298,flusakit
1299,fokus
1300,for
1301,forkopimda
1302,form
1303,formalin
1304,former
1305,formil
1306,formulir
1307,forum
1308,foto
1309,fotoflyer
1310,fotografi
1311,fotoyang
1312,foundation
1313,founder
1314,four
1315,fox
1316,fpi
1317,fpks
1318,fraksi
1319,fraud
1320,from
1321,front
1322,frustasi
1323,frustrasi
1324,fuckshit
1325,full
1326,function
1327,fungsi
1328,fx
1329,fyi
1330,gabung
1331,gadget
1332,gading
1333,gadis
1334,gaduh
1335,gadung
1336,gaet
1337,gagak
1338,gagal
1339,gagas
1340,gage
1341,gaji
1342,galak
1343,galang
1344,galeri
1345,gali
1346,gamaleya
1347,gambas
1348,game
1349,games
1350,gamma
1351,gampang
1352,ganas
1353,ganda
1354,gandeng
1355,gang
1356,ganggu
1357,gangsa
1358,gangster
1359,ganjar
1360,ganjarberagam
1361,ganjil
1362,ganti
1363,gantung
1364,gap
1365,gapai
1366,garam
1367,garis
1368,garut
1369,gas
1370,gatal
1371,gate
1372,gates
1373,gave
1374,gawai
1375,gearaka
1376,gede
1377,gedong
1378,gedung
1379,gegana
1380,gegara
1381,gegas
1382,geger
1383,gejala
1384,gejalasyarat
1385,gelandang
1386,gelap
1387,gelar
1388,gelas
1389,geletak
1390,geliat
1391,gelimpang
1392,gelombang
1393,gelontor
1394,gembira
1395,gempar
1396,gen
1397,genap
1398,gencar
1399,general
1400,generasi
1401,generator
1402,geng
1403,genius
1404,genome
1405,genosida
1406,genta
1407,geofisika
1408,geografis
1409,gera
1410,gerai
1411,gerak
1412,gerangan
1413,gerbang
1414,gereget
1415,gereja
1416,gerindra
1417,germany
1418,geser
1419,get
1420,getelementsbytagname
1421,getty
1422,giat
1423,gibran
1424,gigi
1425,gih
1426,gilas
1427,gilber
1428,gilbert
1429,gilbertmenyerahkan
1430,gilir
1431,ginjal
1432,giring
1433,girsang
1434,gizi
1435,global
1436,go
1437,goblok
1438,god
1439,gojek
1440,golong
1441,goods
1442,google
1443,gor
1444,goreng
1445,gorontalo
1446,goth
1447,gotong
1448,government
1449,goyah
1450,gp
1451,grace
1452,graden
1453,grafik
1454,graha
1455,gratis
1456,great
1457,greek
1458,green
1459,greg
1460,grid
1461,grosir
1462,grup
1463,gua
1464,gubernur
1465,gue
1466,guess
1467,gufron
1468,gugat
1469,gugur
1470,gula
1471,gulana
1472,gulat
1473,gulir
1474,guna
1475,gunadi
1476,gunansar
1477,guncang
1478,gundah
1479,gunung
1480,guru
1481,gusdimansyah
1482,habibie
1483,habis
1484,had
1485,hadap
1486,hadimuljono
1487,hadir
1488,haf
1489,hajat
1490,haji
1491,hajinews
1492,hajizainut
1493,hak
1494,haka
1495,hakim
1496,halah
1497,halaman
1498,ham
1499,hamil
1500,hancur
1501,handiman
1502,hangat
1503,hanoi
1504,hantam
1505,hantu
1506,hanyut
1507,hapal
1508,happened
1509,hapus
1510,harap
1511,harbuwono
1512,hard
1513,harfia
1514,harga
1515,hari
1516,harianti
1517,hariantivirus
1518,haribrian
1519,harisimak
1520,harjono
1521,haru
1522,harum
1523,harus
1524,harvard
1525,has
1526,hasan
1527,hasil
1528,hassan
1529,hastuti
1530,hasyim
1531,hati
1532,hatta
1533,have
1534,haver
1535,hazmat
1536,hb
1537,he
1538,healthalodoktergetwellgood
1539,hebat
1540,heboh
1541,hehamahua
1542,height
1543,hektare
1544,helmiawan
1545,hemat
1546,hembus
1547,hendak
1548,hendrawan
1549,henti
1550,hentipemain
1551,heran
1552,herd
1553,heroik
1554,heterolog
1555,hewan
1556,hi
1557,hias
1558,hibur
1559,hidayat
1560,hidung
1561,hidup
1562,hijau
1563,hijaustatus
1564,hilang
1565,hilanggangster
1566,hilanglihat
1567,hilangwiku
1568,hilmar
1569,himbauan
1570,himpun
1571,hindar
1572,hindia
1573,histeris
1574,historis
1575,hitam
1576,hitung
1577,hk
1578,hmw
1579,hnw
1580,hoax
1581,hobi
1582,home
1583,homofobia
1584,homolog
1585,honor
1586,hopkin
1587,hormat
1588,horor
1589,hospital
1590,hotel
1591,house
1592,hp
1593,htan
1594,huanan
1595,hubung
1596,huda
1597,hudhi
1598,hujan
1599,hukum
1600,human
1601,humas
1602,hungaria
1603,huni
1604,hunt
1605,huruf
1606,hutan
1607,hutang
1608,hybrid
1609,ibadah
1610,ibagikan
1611,iblis
1612,ibnusholeh
1613,ibrahim
1614,ibrahimnegara
1615,ibrani
1616,ibu
1617,ibukota
1618,ibunda
1619,icu
1620,icvc
1621,id
1622,idah
1623,idap
1624,ide
1625,ideal
1626,identifikasi
1627,identik
1628,identitas
1629,idh
1630,idi
1631,idjika
1632,idle
1633,idn
1634,idpada
1635,idpasien
1636,idris
1637,idul
1638,if
1639,iframe
1640,ig
1641,igd
1642,ii
1643,iii
1644,iin
1645,ikan
1646,ikat
1647,ikbal
1648,ikhlas
1649,ikhtiar
1650,ikhwan
1651,ikiran
1652,ikn
1653,ikut
1654,ilaihi
1655,ilegal
1656,ilir
1657,illinois
1658,ilmiah
1659,ilmu
1660,ilmuwan
1661,ilustrasi
1662,images
1663,imagespacquiao
1664,imagespengkritiknya
1665,iman
1666,imbang
1667,imbas
1668,imbau
1669,imbuh
1670,imdb
1671,imelda
1672,imendagri
1673,imigrasi
1674,imk
1675,imlek
1676,immediately
1677,immune
1678,immunity
1679,impala
1680,implementatif
1681,impor
1682,imron
1683,imun
1684,imunisasi
1685,imunitas
1686,imunologi
1687,inap
1688,includes
1689,increase
1690,indah
1691,indak
1692,indekos
1693,indeks
1694,independen
1695,independensi
1696,indera
1697,index
1698,indexof
1699,india
1700,indikasi
1701,indikator
1702,individu
1703,indofarma
1704,indonesia
1705,indonesiabaik
1706,indonesiadedy
1707,indonesiadilansir
1708,indonesiapada
1709,indra
1710,indramayu
1711,indro
1712,industri
1713,infeksi
1714,infeksius
1715,inflammation
1716,inflasi
1717,info
1718,infografis
1719,informasi
1720,informasiyang
1721,informatika
1722,informed
1723,ingat
1724,inggris
1725,ini
1726,iniberedar
1727,inisial
1728,inisiasi
1729,injection
1730,injeksi
1731,inkonstitusional
1732,inkubasi
1733,inmendagri
1734,innalillahi
1735,inokulasi
1736,inovasi
1737,inovator
1738,input
1739,insan
1740,insentif
1741,insertbefore
1742,insiden
1743,instagram
1744,instagramable
1745,instagramnya
1746,instansi
1747,institut
1748,institute
1749,instruksi
1750,instrumen
1751,intelligence
1752,intens
1753,intensitas
1754,interactive
1755,interaksi
1756,internal
1757,internasional
1758,international
1759,internet
1760,interstitial
1761,interval
1762,inti
1763,intip
1764,intisari
1765,invasi
1766,investasi
1767,investigasi
1768,ipb
1769,ipda
1770,iqbal
1771,iqomat
1772,ira
1773,iran
1774,irawan
1775,irfan
1776,iriana
1777,iriawan
1778,irigasi
1779,iring
1780,irlandia
1781,irwandi
1782,is
1783,isa
1784,iskan
1785,islam
1786,islandia
1787,isolasi
1788,isolasisementara
1789,isoman
1790,isomanangka
1791,isomandokter
1792,isomannya
1793,isoter
1794,israel
1795,issue
1796,istana
1797,istilah
1798,istimewa
1799,istirahat
1800,istri
1801,isu
1802,isyarat
1803,ita
1804,itb
1805,ite
1806,item
1807,itu
1808,ituberdurasi
1809,ituberisi
1810,itumenjadi
1811,itumenulis
1812,iv
1813,iwan
1814,ix
1815,iya
1816,izin
1817,izt
1818,jab
1819,jabar
1820,jabardprd
1821,jabarprov
1822,jabarsimak
1823,jabat
1824,jabodetabek
1825,jabodetabekirwandi
1826,jabodetabeklalu
1827,jadi
1828,jadwal
1829,jaelani
1830,jaga
1831,jagal
1832,jahat
1833,jahe
1834,jahit
1835,jaja
1836,jajar
1837,jakartabadan
1838,jakartaberdasarkan
1839,jakartadinas
1840,jakartaketua
1841,jakartasementara
1842,jakartasetelah
1843,jakbar
1844,jaket
1845,jaki
1846,jakidilansir
1847,jakiselanjutnya
1848,jakpus
1849,jaksa
1850,jaksel
1851,jaktim
1852,jakupovic
1853,jakut
1854,jalur
1855,jam
1856,jamaah
1857,jamal
1858,jamaludin
1859,jambaca
1860,jambi
1861,jamin
1862,jampasien
1863,jamur
1864,janggal
1865,jangka
1866,jangkau
1867,jangkit
1868,janin
1869,janji
1870,janssen
1871,jantung
1872,januari
1873,jarah
1874,jarak
1875,jaring
1876,jarum
1877,jas
1878,jasa
1879,jasarevic
1880,jateng
1881,jatim
1882,jatuh
1883,jauh
1884,jauhari
1885,jawa
1886,jawab
1887,jawabannyadalam
1888,jawara
1889,jaya
1890,jayapura
1891,jazeera
1892,jbr
1893,jeblos
1894,jeda
1895,jeding
1896,jelang
1897,jelas
1898,jelata
1899,jemaah
1900,jember
1901,jemput
1902,jemur
1903,jenazah
1904,jenderal
1905,jenggot
1906,jenis
1907,jenisnyavaksin
1908,jenjang
1909,jenny
1910,jepang
1911,jepret
1912,jerat
1913,jerinx
1914,jerman
1915,jermancovid
1916,jermanpembatalan
1917,jernih
1918,jersey
1919,jeruk
1920,jerumus
1921,jht
1922,jhtsebelumnya
1923,jidat
1924,jijik
1925,jilat
1926,jim
1927,jingga
1928,jinping
1929,jiwa
1930,jiwasraya
1931,jkp
1932,job
1933,joe
1934,joget
1935,john
1936,johnson
1937,joko
1938,jokowi
1939,jordan
1940,jorgen
1941,joybera
1942,jpo
1943,jr
1944,jrsalah
1945,jual
1946,juang
1947,juara
1948,judul
1949,juicy
1950,jujur
1951,juli
1952,juma
1953,jumat
1954,jumbo
1955,jumpa
1956,junaidi
1957,junfi
1958,jung
1959,juni
1960,junimart
1961,junior
1962,jurang
1963,jurangsebuah
1964,jurig
1965,jurnal
1966,jurong
1967,juru
1968,just
1969,juta
1970,jutadia
1971,jutakasus
1972,jutamenurut
1973,jutanamun
1974,jutapenerapan
1975,jutasebelumnya
1976,kabar
1977,kabareskrim
1978,kabarterkini
1979,kabid
1980,kabinet
1981,kabul
1982,kabupaten
1983,kabur
1984,kabut
1985,kaca
1986,kacau
1987,kad
1988,kadaluarsa
1989,kadaluwarsa
1990,kader
1991,kadinkes
1992,kadisdikbud
1993,kadisdukcapil
1994,kadrun
1995,kafe
1996,kaget
1997,kah
1998,kain
1999,kais
2000,kait
2001,kak
2002,kakak
2003,kakankemenag
2004,kakek
2005,kaki
2006,kalah
2007,kalang
2008,kali
2009,kaliber
2010,kalideres
2011,kalimantan
2012,kalimat
2013,kalisat
2014,kalsel
2015,kamar
2016,kambang
2017,kamera
2018,kamil
2019,kamilagus
2020,kampanye
2021,kampung
2022,kampus
2023,kamu
2024,kan
2025,kanak
2026,kanal
2027,kandas
2028,kandidat
2029,kandou
2030,kandung
2031,kang
2032,kanit
2033,kanker
2034,kanselir
2035,kantong
2036,kantor
2037,kanu
2038,kanwil
2039,kaos
2040,kapal
2041,kapan
2042,kapasitas
2043,kapital
2044,kapolda
2045,kapolres
2046,kapolrestabes
2047,kapolri
2048,kapolsek
2049,kappa
2050,kapuk
2051,karakter
2052,karakteristik
2053,karang
2054,karanglo
2055,karantina
2056,karantinaberkumur
2057,karawang
2058,karbon
2059,kardiovaskular
2060,kardus
2061,karena
2062,karenasarah
